,Sample1162-EO2
DDR2,0.013645577
HSD17B7,0.04903021
RGS4,0.008508388
RGS5,0.0
ENSG00000232995,0.0
PBX1,0.3329037
MGST3,1.575159
ALDH9A1,0.38498586
TMCO1,0.61881405
UCK2,0.026717054
POGK,0.120106384
TADA1,0.029106861
POU2F1,0.09732575
CD247,0.015005133
CREG1,0.20756923
RCSD1,0.018045222
MPZL1,0.0993612
MPC2,1.0590919
DCAF6,0.10444059
GPR161,0.005767681
TIPRL,0.18037063
SFT2D2,0.15600978
XCL2,0.0044959
DPT,0.0035183162
ATP1B1,2.1495135
NME7,0.094839446
BLZF1,0.09162991
SLC19A2,0.103001155
F5,0.004558965
SELP,0.00936928
SELL,0.006091658
METTL18,0.04149138
SCYL3,0.039393805
KIFAP3,0.12495653
GORAB,0.02473913
FMO3,0.0
FMO2,0.0053931265
FMO4,0.08187855
PRRC2C,0.4410617
VAMP4,0.07726769
METTL13,0.041406844
DNM3,0.035668194
DNM3OS,0.018444302
PIGC,0.08796253
SUCO,0.14880487
PRDX6-AS1,0.010739075
PRDX6,1.1523486
KLHL20,0.06549825
CENPL,0.0033412327
DARS2,0.056502625
ZBTB37,0.061222196
RC3H1,0.097923204
RABGAP1L,0.12129773
CACYBP,0.32172298
MRPS14,0.21622847
KIAA0040,0.07728493
COP1,0.06469737
SEC16B,0.010739027
RASAL2,0.11305721
RALGPS2,0.089956105
ANGPTL1,0.06684122
FAM20B,0.11269151
TOR3A,0.039914813
ABL2,0.053730566
SOAT1,0.10172358
TOR1AIP2,0.287916
TOR1AIP1,0.17297688
ENSG00000260360,0.0
CEP350,0.20012431
QSOX1,0.13886517
ACBD6,0.117177956
XPR1,0.107027285
STX6,0.06181669
MR1,0.058516607
IER5,0.048611734
GLUL,0.48929372
RNASEL,0.028784802
RGS16,0.015891138
NPL,0.119177215
DHX9,0.34814626
LAMC1,0.10787202
SMG7,0.12841988
NCF2,0.0035996176
ARPC5,0.3486547
RGL1,0.07723887
TSEN15,0.1476602
C1orf21,0.03047134
EDEM3,0.116180554
NIBAN1,0.028841378
RNF2,0.06507437
TRMT1L,0.08148818
SWT1,0.027325785
IVNS1ABP,0.6461344
ENSG00000273004,0.0
HMCN1,0.017344875
TPR,0.30106106
ODR4,0.11288809
PTGS2,0.0028421937
RGS18,0.0077730613
RGS1,0.025179166
RGS13,0.0
RGS2,0.09303765
UCHL5,0.13351122
RO60,0.25306204
GLRX2,0.14951845
CDC73,0.1626124
KCNT2,0.0040049
CFH,0.047749028
CFHR1,0.0
ZBTB41,0.11726906
DENND1B,0.08791806
NEK7,0.11142774
PTPRC,0.047824208
MIR181A1HG,0.0041845706
NR5A2,0.0031862955
ZNF281,0.09154309
DDX59,0.07243301
CAMSAP2,0.13253126
KIF21B,0.0
TMEM9,0.2575135
PKP1,0.009266721
PHLDA3,0.07749502
CSRP1,0.4863582
NAV1,0.03671008
IPO9-AS1,0.005188835
IPO9,0.09271237
SHISA4,0.04074469
ENSG00000223774,0.00437083
LMOD1,0.022943303
TIMM17A,0.21075995
RNPEP,0.14300188
ELF3,0.20763451
ARL8A,0.19828114
PTPN7,0.0031934262
LGR6,0.0
UBE2T,0.027039321
PPP1R12B,0.09544046
KDM5B,0.12366007
PCAT6,0.016935134
RABIF,0.09248385
KLHL12,0.08101999
ADIPOR1,0.21601892
CYB5R1,0.18181549
TMEM183A,0.16678599
LINC01353,0.0
BTG2-DT,0.0005800129
BTG2,0.5577679
PRELP,0.0054929284
ATP2B4,0.13116966
LAX1,0.0
ZC3H11A,0.010342971
ZBED6,0.0028474794
SNRPE,0.7151997
SOX13,0.057611417
ETNK2,0.22182655
PLEKHA6,0.09333679
PPP1R15B,0.18893749
PIK3C2B,0.022380587
MDM4,0.26234344
NFASC,0.011689556
RBBP5,0.08527658
DSTYK,0.083823
CDK18,0.08172621
ELK4,0.14824145
SLC45A3,0.008914771
NUCKS1,0.8230822
RAB29,0.20883556
SLC41A1,0.04739627
PM20D1,0.0036801945
RHEX,0.043673765
FAM72A,0.0
SRGAP2,0.058950786
RASSF5,0.006737323
EIF2D,0.08636202
MAPKAPK2,0.27826184
IL10,0.0
IL20,0.0
FCMR,0.0035746763
PFKFB2,0.14029115
YOD1,0.03951469
CD55,0.12161354
CR1,0.002373578
CD46,0.7081309
MIR29B2CHG,0.112841696
CD34,0.13056183
PLXNA2,0.06147294
G0S2,0.37146443
TRAF3IP3,0.010448582
IRF6,0.11114579
UTP25,0.03852201
SERTAD4-AS1,0.17774805
HHAT,0.025934
RCOR3,0.11262043
TRAF5,0.033421602
LINC00467,0.072661944
SLC30A1,0.18189563
NEK2,0.0
LPGAT1,0.13665698
INTS7,0.018714331
PPP2R5A,0.19580226
PACC1,0.022155039
NENF,0.76064074
ENSG00000260805,0.02242035
ATF3,0.3434403
BATF3,0.00409808
NSL1,0.13547957
TATDN3,0.09711107
FLVCR1,0.038672958
ANGEL2,0.06825792
RPS6KC1,0.04337393
SMYD2,0.073229045
