,PRE038
CD160,0.0039067506
RNF115,0.253883
POLR3C,0.030522667
NUDT17,0.0062752967
PIAS3,0.024665117
ITGA10,0.012520201
PEX11B,0.08504727
RBM8A,0.34916064
LIX1L,0.04669337
POLR3GL,0.122096606
TXNIP,0.8650966
NOTCH2NLA,0.0029673818
NBPF12,0.017398827
PRKAB2,0.04803584
ENSG00000237188,0.009711606
FMO5,0.039611317
CHD1L,0.020054102
BCL9,0.027618138
ACP6,0.054652687
GJA5,0.069708325
NBPF11,0.021455575
NBPF14,0.019821705
PDE4DIP,0.17250144
NBPF9,0.007872901
ENSG00000274265,0.032166474
NBPF19,0.008014382
FCGR1A,0.0011785304
H2BC18,0.004388239
H2AC19,0.0014644259
H2AC20,0.022168634
BOLA1,0.10142673
SF3B4,0.11438592
MTMR11,0.09323982
OTUD7B,0.061074343
VPS45,0.07671836
PLEKHO1,0.05954646
ANP32E,0.13656658
APH1A,0.20731749
C1orf54,0.056372393
MRPS21,0.5907198
PRPF3,0.035893206
RPRD2,0.13414696
TARS2,0.037921097
ECM1,0.015523577
ADAMTSL4-AS2,0.0
MCL1,0.28607258
ENSA,0.32681984
GOLPH3L,0.0812945
CTSS,0.047285184
CTSK,0.0076069944
ARNT,0.06456932
SETDB1,0.01951067
CERS2,0.37238622
ANXA9,0.065701
MINDY1,0.0355597
C1orf56,0.1273602
CDC42SE1,0.14044659
MLLT11,0.0054196417
GABPB2,0.04330713
TNFAIP8L2,0.0024368872
SCNM1,0.053214684
LYSMD1,0.0359857
VPS72,0.060831178
PIP5K1A,0.059212167
PSMD4,0.23372295
ZNF687,0.03678238
PI4KB,0.096560866
RFX5,0.04531306
SELENBP1,0.2043493
PSMB4,0.40438834
POGZ,0.15230706
CGN,0.039672244
TUFT1,0.045098193
SNX27,0.32354957
MRPL9,0.111515686
OAZ3,0.007585182
TDRKH,0.0067183017
TDRKH-AS1,0.0
THEM4,0.072459765
S100A10,0.7636586
S100A11,0.6429282
TCHH,0.0
S100A9,0.0018075363
S100A12,0.0
S100A8,0.00091604376
S100A7,0.0
S100A6,1.176
S100A5,0.0011292676
S100A4,0.29649746
S100A16,0.23417145
S100A14,0.01646576
S100A13,0.44531658
CHTOP,0.11387437
SNAPIN,0.12459312
ILF2,0.20687506
NPR1,0.13302992
INTS3,0.1200304
SLC27A3,0.052963044
GATAD2B,0.090485096
DENND4B,0.037542827
CRTC2,0.044828728
SLC39A1,0.12063137
CREB3L4,0.016447704
JTB,0.44977358
JTB-DT,0.0030542722
RAB13,0.313177
RPS27,2.590027
TPM3,0.37637788
C1orf43,0.58748895
UBAP2L,0.093892746
HAX1,0.2674448
ATP8B2,0.02256147
IL6R,0.23719738
SHE,0.063134015
UBE2Q1,0.1464252
ADAR,0.25308225
KCNN3,0.023496367
PMVK,0.31276792
PBXIP1,0.107020214
PYGO2,0.05130472
SHC1,0.08071042
CKS1B,0.10147981
FLAD1,0.051501937
ZBTB7B,0.07417193
ADAM15,0.08166431
EFNA4,0.009511715
EFNA3,0.0012480125
EFNA1,0.17022713
SLC50A1,0.08167995
DPM3,0.38974166
KRTCAP2,0.2238016
MUC1,0.17085147
THBS3,0.024467843
MTX1,0.12936716
GBA1,0.006841053
ENTREP3,0.030438071
SCAMP3,0.08325044
CLK2,0.035818737
